origin,exception
"С. Бузове, Київський р-н","Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%A1.+%D0%91%D1%83%D0%B7%D0%BE%D0%B2%D0%B5%2C+%D0%9A%D0%B8%D1%97%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9+%D1%80-%D0%BD&components=&sensor=false&language=&bounds="
м.Пирятин обл.Полтавська,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC.%D0%9F%D0%B8%D1%80%D1%8F%D1%82%D0%B8%D0%BD+%D0%BE%D0%B1%D0%BB.%D0%9F%D0%BE%D0%BB%D1%82%D0%B0%D0%B2%D1%81%D1%8C%D0%BA%D0%B0&components=&sensor=false&language=&bounds="
Нiжин,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%9Di%D0%B6%D0%B8%D0%BD&components=&sensor=false&language=&bounds="
м. Новоград-Волинський Житомирської обл.,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC.+%D0%9D%D0%BE%D0%B2%D0%BE%D0%B3%D1%80%D0%B0%D0%B4-%D0%92%D0%BE%D0%BB%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9+%D0%96%D0%B8%D1%82%D0%BE%D0%BC%D0%B8%D1%80%D1%81%D1%8C%D0%BA%D0%BE%D1%97+%D0%BE%D0%B1%D0%BB.&components=&sensor=false&language=&bounds="
"Дніпрорудне, Запорізької області","Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE%D1%80%D1%83%D0%B4%D0%BD%D0%B5%2C+%D0%97%D0%B0%D0%BF%D0%BE%D1%80%D1%96%D0%B7%D1%8C%D0%BA%D0%BE%D1%97+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%96&components=&sensor=false&language=&bounds="
м. Бориспіль Київської обл.,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC.+%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BF%D1%96%D0%BB%D1%8C+%D0%9A%D0%B8%D1%97%D0%B2%D1%81%D1%8C%D0%BA%D0%BE%D1%97+%D0%BE%D0%B1%D0%BB.&components=&sensor=false&language=&bounds="
"м.Мукачево, Закарпатської області","Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC.%D0%9C%D1%83%D0%BA%D0%B0%D1%87%D0%B5%D0%B2%D0%BE%2C+%D0%97%D0%B0%D0%BA%D0%B0%D1%80%D0%BF%D0%B0%D1%82%D1%81%D1%8C%D0%BA%D0%BE%D1%97+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%96&components=&sensor=false&language=&bounds="
"с. Оболоня Долинського району Івано-Франківської області, Україна","Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D1%81.+%D0%9E%D0%B1%D0%BE%D0%BB%D0%BE%D0%BD%D1%8F+%D0%94%D0%BE%D0%BB%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD%D1%83+%D0%86%D0%B2%D0%B0%D0%BD%D0%BE-%D0%A4%D1%80%D0%B0%D0%BD%D0%BA%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%BE%D1%97+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%96%2C+%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0&components=&sensor=false&language=&bounds="
Oбанж,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=O%D0%B1%D0%B0%D0%BD%D0%B6&components=&sensor=false&language=&bounds="
Kиев,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=K%D0%B8%D0%B5%D0%B2&components=&sensor=false&language=&bounds="
